what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1326594950216
java.runtime.version,sysinfo,,,"1.6.0_27-b07",1326594950216
java.specification.name,sysinfo,,,"Java Platform API Specification",1326594950216
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1326594950216
java.specification.version,sysinfo,,,"1.6",1326594950216
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1326594950216
java.version,sysinfo,,,"1.6.0_27",1326594950216
java.vm.info,sysinfo,,,"mixed mode, sharing",1326594950216
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1326594950216
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1326594950216
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1326594950216
java.vm.specification.version,sysinfo,,,"1.0",1326594950216
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1326594950216
java.vm.version,sysinfo,,,"20.2-b06",1326594950216
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1326594983203
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1326594983228
closed,view,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.internal.introview",1326594983262
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326594989970
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326594997833
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1326594998122
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1326594998139
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1326594998738
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1326594998882
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1326594998984
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1326594999068
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1326594999214
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1326594999360
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1326594999705
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1326594999783
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1326594999862
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1326594999958
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1326595000036
opened,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1326595000388
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1326595000455
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1326595000487
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1326595000926
started,bundle,org.eclipse.jdt.apt.core,3.3.400.v20100513-0845,"org.eclipse.jdt.apt.core",1326595001911
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.300.v20100513-0845,"org.eclipse.jdt.apt.pluggable.core",1326595001930
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1326595002487
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1326595003294
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1326595003752
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1326595004250
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1326595005930
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1326595006020
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326595006134
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1326595006243
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1326595006273
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326595012367
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1326595013045
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1326595013525
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326595019768
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326595024865
error,log,,,"Unhandled event loop exception",1326595024913
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1326595041765
